"p.adjust(sim_results_2022$p_value, method = ""BY"")",game_id,observed_stat,p_value,mean,sd,season,team_id,miss_streaks,make_streaks
1,401391652,-0.4,0.8166481462774018,-0.13669627710522891,0.2834271883625227,2022,17,2,10
1,401391657,0,0.4015549273021002,-0.11479460300859021,0.2825125677810384,2022,17,8,4
1,401391659,-0.20454545454545453,0.63293327908869,-0.11376539263386215,0.28515287565352015,2022,17,11,4
1,401391665,-0.2142857142857143,0.6356415478615072,-0.1252186816492154,0.2791379586206951,2022,17,8,7
1,401391675,-0.5,0.8925005094762584,-0.14994969783554257,0.29523815988723284,2022,17,6,4
1,401391678,0.35,0.03232976358860376,-0.12261943791913235,0.2813715635930716,2022,17,10,8
1,401391683,-0.5,0.9361038438317569,-0.08035637215973354,0.26905397699337147,2022,17,8,4
1,401391687,0.20512820512820507,0.14313267688559536,-0.08654461232687362,0.2723321352855446,2022,17,13,12
1,401391696,0.16666666666666669,0.13827976369280065,-0.0919635451607919,0.24193509513178027,2022,17,21,2
1,401391703,-0.15555555555555556,0.6014148559878727,-0.1016849497970831,0.267303103522697,2022,17,9,5
1,401391707,-0.5,0.9019112144807362,-0.1364319611464672,0.2831529731881865,2022,17,6,6
1,401391715,0.09999999999999998,0.2465836623139994,-0.10693051029301687,0.2712570009312924,2022,17,20,10
0.6934597943304903,401391727,0.5,0.0033246020552085433,-0.14031511302281172,0.2811781077617559,2022,17,12,9
1,401391734,0.19999999999999996,0.1397925269412831,-0.09513100999112609,0.2730867019963938,2022,17,5,5
1,401391745,-0.04395604395604402,0.42825518212920105,-0.10985217247473461,0.2587643302894106,2022,17,13,7
1,401391747,0.25,0.07474097173322604,-0.11270153968227122,0.2640712364766187,2022,17,16,6
1,401391758,-0.6363636363636364,0.9662366458375328,-0.1190902844309733,0.27123885544362164,2022,17,11,2
1,401391762,-0.37777777777777777,0.7961815781456281,-0.11888673162422887,0.295992587904295,2022,17,9,5
1,401391767,-0.2857142857142857,0.7341157426143262,-0.11015458103905643,0.2709271774700247,2022,17,14,4
1,401391770,0.0714285714285714,0.2810351799433886,-0.10689118179937002,0.27433193836634207,2022,17,8,7
1,401391775,0.125,0.20440153638534206,-0.12636330273458232,0.2775765928881968,2022,17,16,4
1,401391782,0.2828282828282829,0.07016658253407371,-0.0991892816512245,0.2740986438372884,2022,17,9,11
1,401391787,-0.125,0.5331176054201638,-0.1269660315828739,0.2885434563320065,2022,17,8,6
1,401391792,0.2678571428571429,0.07722592368261659,-0.10107702664102189,0.274558925468484,2022,17,8,14
1,401391799,0.14285714285714285,0.185927118985303,-0.105546612643725,0.2698951066249364,2022,17,14,7
1,401391804,-0.35714285714285715,0.8021118895319321,-0.10743287530241208,0.2774686674602721,2022,17,14,2
1,401391809,-0.41666666666666663,0.8976006425057725,-0.06726241704253218,0.2576417259722478,2022,17,9,8
1,401391814,-0.3,0.750252678390944,-0.11094835034356183,0.2751054209354007,2022,17,14,5
1,401391822,0.11688311688311687,0.2057871307163092,-0.11729206915535087,0.27342236978827517,2022,17,7,11
1,401391828,0.4415584415584416,0.015786827551533433,-0.07268477278101865,0.2763976146622032,2022,17,11,14
1,401391833,-0.16666666666666669,0.6023213194868662,-0.1140593015663961,0.28659025886972617,2022,17,8,3
1,401391839,-0.42857142857142855,0.854359078453263,-0.12508950737018257,0.27742827386813923,2022,17,7,3
1,401391846,-0.5714285714285714,0.9536962635596625,-0.11806339050468262,0.2605174473374673,2022,17,7,2
1,401391850,-0.22499999999999998,0.6390219052470708,-0.13057879458515867,0.2811017690032059,2022,17,10,8
1,401391854,-0.16666666666666663,0.5731313131313132,-0.12871007037004512,0.2824971763367088,2022,17,6,4
1,401391864,-0.14545454545454545,0.5942689347914135,-0.09731813089533474,0.2733343806586271,2022,17,5,11
1,401430112,-0.42857142857142855,0.8746862134752486,-0.10648688476934638,0.26547894341550765,2022,17,7,7
1,401455628,-0.06666666666666665,0.441320420701864,-0.13244798436653393,0.2890716069095851,2022,17,15,5
1,401455652,0.1228070175438597,0.23328050713153725,-0.11314381135651197,0.28609047547698757,2022,17,3,19
1,401455660,-0.3076923076923077,0.7459784158012625,-0.11933436523362108,0.27486657493908856,2022,17,13,4
1,401455674,-0.6666666666666666,0.9626547594885326,-0.13222185690640345,0.2908608832150667,2022,17,9,1
1,401455676,-0.04761904761904767,0.41726473263923985,-0.1256577442477498,0.268811304804378,2022,17,7,9
1,401455678,0,0.36530051866164953,-0.13994489967948334,0.28515657806160194,2022,17,4,8
1,401455681,-0.08333333333333337,0.46230841413825463,-0.13706237552395883,0.2985046637205025,2022,17,12,4
1,401455682,-1,1,-0.13148506881429248,0.2875874101091395,2022,17,5,5
1,401455683,0.34523809523809523,0.0401025641025641,-0.13471979154348948,0.2982723060412667,2022,17,12,7
1,401455684,0.11428571428571432,0.2092643607795123,-0.13457741065399928,0.2860592010131696,2022,17,14,5
