"p.adjust(sim_results_2023$p_value, method = ""BY"")",game_id,observed_stat,p_value,mean,sd,miss_streaks,make_streaks
1,401507134,0.1428571428571429,0.20310296191819463,-0.09482903382170814,0.27242190743567507,6,14
1,401507141,-0.30000000000000004,0.7212016644676749,-0.12828040946526137,0.29573039874840723,5,4
1,401507146,-0.5,0.9415016584581365,-0.0893645871273478,0.25636427206576057,10,3
1,401507149,-0.5555555555555556,0.9526119025967464,-0.08919021475430065,0.27269052796270027,9,3
1,401507156,0,0.36520249848881725,-0.13214953797802392,0.27649603425107067,12,3
1,401507163,-0.036363636363636376,0.44949241129761786,-0.0929857018816951,0.2697616794320337,11,5
1,401507164,0.06666666666666671,0.2702127659574468,-0.13024773429258613,0.2899758226999699,6,5
1,401507169,-0.8,0.9911294481691594,-0.10650062383225782,0.2966110327317046,5,3
1,401507176,-0.33333333333333337,0.7817299919159256,-0.11122224842672,0.2854238591750344,2,12
1,401507187,0,0.3700271930708027,-0.1258553803862093,0.2778826868753075,6,12
1,401507195,-0.08333333333333331,0.5199838920769153,-0.09248696916364436,0.26959224227392964,6,4
1,401507199,0.125,0.19771555645405842,-0.12907801029270885,0.28334501387236916,3,8
1,401507205,-0.15555555555555556,0.546181891837148,-0.13986762916671122,0.2924502501900452,5,9
1,401507210,0.020833333333333315,0.310017183867381,-0.1394557405320204,0.28751005218529807,16,3
1,401507216,-0.5,0.9157184573557547,-0.11479888354193003,0.27757433080200816,2,8
1,401507221,0,0.40375728350411894,-0.10180221220712413,0.2725767413491891,9,9
1,401507229,-0.6,0.9403196439409266,-0.14393243584450355,0.28497549011122314,10,2
1,401507234,0,0.3608478548863752,-0.1472686895963124,0.29654780150847043,9,3
1,401507240,-0.375,0.8296536358112214,-0.10100128614342432,0.27145007617285266,3,16
1,401507243,0.2222222222222222,0.124597747385358,-0.0826363482603321,0.27231047151359433,9,12
1,401507248,0.23636363636363633,0.08122288366461508,-0.13419645396232824,0.2803373217037594,10,11
1,401507256,0.19841269841269843,0.13034705407586764,-0.12339718773612277,0.28730058531021546,14,9
1,401507261,-0.20634920634920634,0.6486185608744054,-0.11013290913255332,0.2785502335168765,7,9
1,401507266,-0.8333333333333334,0.9966894060995185,-0.10664086221536448,0.2634977781258383,6,3
1,401507278,-0.23809523809523808,0.6518390921065964,-0.13433169655006813,0.28774546208520146,7,6
1,401507282,-0.5714285714285714,0.9469412600182612,-0.10830133244373345,0.28055541754083724,3,7
1,401507292,0.2391304347826087,0.10005037783375315,-0.09668416950177332,0.2759024068434561,23,2
1,401507298,-0.05555555555555558,0.5123078468803376,-0.07852694223837944,0.2674182150613835,9,10
1,401507304,-0.0444444444444444,0.44387601564851037,-0.1015384018096442,0.2668069474744304,9,10
1,401507310,0.32499999999999996,0.03183747725894481,-0.10992551326442812,0.2594988232332291,16,10
1,401507311,-0.12698412698412703,0.5473068388137987,-0.11850785424852608,0.26690657464652434,9,7
1,401507317,-0.06666666666666671,0.5044728113378228,-0.08306092272051803,0.26167726010434883,20,3
1,401507322,0.2077922077922078,0.10231289768710232,-0.14604757481079833,0.28147480085458515,7,11
1,401507329,0.09999999999999998,0.24768704746580852,-0.10214982238925716,0.27021097047335657,10,10
1,401507332,0.015151515151515138,0.3232250793976027,-0.13381761551193655,0.2834201601990714,22,3
1,401507338,0.07142857142857145,0.264206268958544,-0.11903364144316368,0.27685333957846864,14,6
1,401507343,-0.39999999999999997,0.7926741434303941,-0.13407930135870366,0.2947120080426682,5,5
1,401507348,-0.375,0.8417778669609712,-0.0969428093100486,0.26687743787059565,8,3
1,401507363,-0.16666666666666674,0.6418796538538941,-0.09055880329607657,0.2728530532348538,6,15
1,401507368,-0.13095238095238093,0.5663833232139243,-0.10846545530805721,0.27764382278488614,7,12
NA,401507376,NA,NA,-0.11662172807751411,0.2753058002771188,17,0
1,401578550,-0.2545454545454545,0.7258648431214803,-0.1006134880507175,0.27039512830544077,11,5
1,401578554,0.2142857142857143,0.11536144578313252,-0.0940595863132034,0.2581416460126159,21,10
1,401578562,-0.380952380952381,0.813030303030303,-0.12612932572127633,0.27813657350761994,7,9
1,401578564,-0.14285714285714285,0.5366224293384663,-0.13756509901696873,0.28911135185515974,7,7
1,401578566,0.08333333333333331,0.2715130505709625,-0.12347202625790138,0.2997006456035181,12,4
1,401578571,-0.6,0.950116597384163,-0.11207527853342548,0.2884557914565207,5,5
1,401578572,-0.13636363636363635,0.5903846153846154,-0.09886425113618438,0.27380673936931754,10,11
1,401578573,-0.3684210526315789,0.8075528700906345,-0.11539168261937731,0.27842742108850554,19,1
1,401578574,0.282051282051282,0.07686868686868686,-0.09790788474177249,0.2816550900317199,13,6
