"p.adjust(sim_results_2023$p_value, method = ""BY"")",game_id,observed_stat,p_valuesim,mean.x,sd.x,miss_streakssim,make_streakssim,p_valueunadj,diff,miss_streaksunadj,make_streaksunadj,observed,p_adj,mean.y,sd.y,miss_streaks,make_streaks,p_valueperm
1,401507134,0.1428571428571429,0.20310296191819463,-0.09482903382170814,0.27242190743567507,6,14,0.298310470310179,0.1428571428571429,6,14,0.1428571428571429,1,-0.11180879563526289,0.26626694810066515,6,14,0.17466199298948423
1,401507141,-0.30000000000000004,0.7212016644676749,-0.12828040946526137,0.29573039874840723,5,4,0.7860118789848032,-0.30000000000000004,5,4,-0.30000000000000004,1,-0.13895525024334132,0.29872279674377605,5,4,0.7251678861381177
1,401507146,-0.5,0.9415016584581364,-0.0893645871273478,0.25636427206576057,10,3,NA,NA,NA,NA,-0.5,1,-0.10038962337679674,0.24963254240570093,10,3,0.937168584292146
1,401507149,-0.5555555555555556,0.9526119025967464,-0.08919021475430065,0.27269052796270027,9,3,NA,NA,NA,NA,-0.5555555555555556,1,-0.12094131726279826,0.27244807673520083,9,3,0.9348436246992784
1,401507156,0,0.3652024984888173,-0.13214953797802392,0.27649603425107067,12,3,0.5,0,12,3,0,1,-0.11288412750654649,0.2721272082126731,12,3,0.3917350410246147
1,401507163,-0.03636363636363637,0.44949241129761786,-0.0929857018816951,0.2697616794320337,11,5,0.5484654641930544,-0.036363636363636376,11,5,-0.03636363636363637,1,-0.11684713130954276,0.27237024861106784,11,5,0.4116055321707757
1,401507164,0.06666666666666671,0.2702127659574468,-0.13024773429258613,0.2899758226999699,6,5,0.4207340816067159,0.06666666666666671,6,5,0.06666666666666671,1,-0.12385744944728946,0.28812146572774167,6,5,0.2747021723896286
1,401507169,-0.8,0.9911294481691594,-0.10650062383225782,0.2966110327317046,5,3,NA,NA,NA,NA,-0.8,1,-0.13560103329449144,0.29695415729244,5,3,0.9826496840838432
1,401507176,-0.33333333333333337,0.7817299919159256,-0.11122224842672,0.2854238591750344,2,12,NA,NA,NA,NA,-0.33333333333333337,1,-0.13348383726544155,0.2894919496245236,2,12,0.7417845152100926
1,401507187,0,0.3700271930708027,-0.1258553803862093,0.2778826868753075,6,12,0.5,0,6,12,0,1,-0.12145307263008116,0.2734010872386971,6,12,0.3758900812355832
1,401507195,-0.08333333333333331,0.5199838920769153,-0.09248696916364436,0.26959224227392964,6,4,0.5967699853440834,-0.08333333333333331,6,4,-0.08333333333333331,1,-0.10344189362534324,0.26295276418751506,6,4,0.5080032012805122
1,401507199,0.125,0.1977155564540584,-0.12907801029270885,0.28334501387236916,3,8,NA,NA,NA,NA,0.125,1,-0.12612356327114546,0.28668768337085426,3,8,0.2020100502512563
1,401507205,-0.15555555555555556,0.546181891837148,-0.13986762916671122,0.2924502501900452,5,9,0.6901966289999446,-0.15555555555555556,5,9,-0.15555555555555556,1,-0.12772357064657863,0.28588951164624865,5,9,0.5678195488721804
1,401507210,0.02083333333333331,0.310017183867381,-0.1394557405320204,0.28751005218529807,16,3,0.4787003052564283,0.020833333333333315,16,3,0.02083333333333331,1,-0.13305182881164884,0.2900493611453169,16,3,0.3329270769855779
1,401507216,-0.5,0.9157184573557547,-0.11479888354193005,0.27757433080200816,2,8,NA,NA,NA,NA,-0.5,1,-0.1196018180997551,0.2815551453380716,2,8,0.9077949651198058
1,401507221,0,0.40375728350411894,-0.10180221220712413,0.2725767413491891,9,9,0.5,0,9,9,0,1,-0.11411502237717018,0.2666766307180754,9,9,0.391378275655131
1,401507229,-0.6,0.9403196439409266,-0.14393243584450355,0.28497549011122314,10,2,NA,NA,NA,NA,-0.6,1,-0.12644677075149668,0.2836428523036675,10,2,0.9410644482309312
1,401507234,0,0.3608478548863752,-0.1472686895963124,0.29654780150847043,9,3,0.5,0,9,3,0,1,-0.1406413293579567,0.29798000412239395,9,3,0.3690572119258662
1,401507240,-0.375,0.8296536358112214,-0.10100128614342432,0.27145007617285266,3,16,NA,NA,NA,NA,-0.375,1,-0.12747013153683415,0.2798820768555916,3,16,0.7765731077110143
1,401507243,0.2222222222222222,0.124597747385358,-0.0826363482603321,0.27231047151359433,9,12,0.16972838033839432,0.2222222222222222,9,12,0.2222222222222222,1,-0.11206298194237822,0.26523568649796636,9,12,0.0909
1,401507248,0.23636363636363633,0.08122288366461508,-0.13419645396232824,0.2803373217037594,10,11,0.1515179713200029,0.23636363636363633,10,11,0.23636363636363633,1,-0.11569200821897233,0.27842590375283993,10,11,0.0934242181234964
1,401507256,0.19841269841269843,0.13034705407586764,-0.12339718773612277,0.28730058531021546,14,9,0.19036616747077945,0.19841269841269843,14,9,0.19841269841269843,1,-0.12731759548723445,0.2847424817752069,14,9,0.122748767481638
1,401507261,-0.2063492063492063,0.6486185608744054,-0.11013290913255332,0.2785502335168765,7,9,0.7872412504309747,-0.20634920634920634,7,9,-0.2063492063492063,1,-0.11641626583525544,0.27225078472249187,7,9,0.655393235941565
1,401507266,-0.8333333333333334,0.9966894060995184,-0.10664086221536448,0.2634977781258383,6,3,NA,NA,NA,NA,-0.8333333333333334,1,-0.1033967171699865,0.25855079454346613,6,3,0.9953990798159632
