season,team_id,game_id,miss_streaks,make_streaks,fga,fgm
2022,3,401391655,32,3,70,17
2022,3,401391664,9,10,65,31
2022,3,401391670,5,4,63,28
2022,3,401391674,10,1,61,25
2022,3,401391679,11,5,72,34
2022,3,401391684,6,5,73,34
2022,3,401391688,13,6,70,28
2022,3,401391693,19,5,65,24
2022,3,401391704,12,6,74,33
2022,3,401391711,14,3,66,26
2022,3,401391715,27,6,78,27
2022,3,401391724,12,6,68,30
2022,3,401391729,8,5,69,31
2022,3,401391734,12,1,73,29
2022,3,401391739,6,5,68,33
2022,3,401391744,5,5,71,32
2022,3,401391746,16,3,66,25
2022,3,401391751,5,4,68,34
2022,3,401391756,13,8,67,29
2022,3,401391764,17,0,59,17
2022,3,401391769,9,9,66,33
2022,3,401391779,9,1,71,32
2022,3,401391786,13,2,72,27
2022,3,401391793,11,6,69,33
2022,3,401391798,14,3,66,26
2022,3,401391811,6,7,68,35
2022,3,401391815,8,10,73,38
2022,3,401391820,21,5,73,28
2022,3,401391825,8,8,71,34
2022,3,401391834,11,4,67,30
2022,3,401391839,13,6,70,33
2022,3,401391842,9,2,57,23
2022,3,401391848,7,7,66,32
2022,3,401391852,17,4,67,23
2022,3,401391859,6,2,62,28
2022,3,401391865,3,23,64,42
2022,3,401455629,8,4,63,26
2022,3,401455653,12,9,75,36
2022,3,401455659,9,1,55,20
2022,5,401391650,11,3,72,30
2022,5,401391656,18,4,78,29
2022,5,401391660,12,8,70,31
2022,5,401391666,17,7,72,27
2022,5,401391671,19,8,68,28
2022,5,401391673,18,3,80,30
2022,5,401391680,5,11,63,34
2022,5,401391685,18,3,63,22
2022,5,401391690,19,7,82,34
2022,5,401391694,9,5,70,32
2022,5,401391701,14,5,74,30
2022,5,401391706,30,9,76,25
2022,5,401391713,21,3,66,23
2022,5,401391720,19,3,72,27
2022,5,401391723,13,3,75,31
2022,5,401391731,10,8,70,33
2022,5,401391736,18,5,78,29
2022,5,401391742,11,9,69,35
2022,5,401391751,6,1,63,25
2022,5,401391761,11,4,60,24
2022,5,401391766,8,3,63,27
2022,5,401391771,13,0,61,21
2022,5,401391778,14,4,73,28
2022,5,401391783,14,4,82,33
2022,5,401391791,16,8,68,30
2022,5,401391796,19,7,71,26
2022,5,401391802,14,1,66,24
2022,5,401391805,7,6,57,29
2022,5,401391809,12,5,67,28
2022,5,401391815,10,7,65,31
2022,5,401391822,16,3,68,25
2022,5,401391828,20,0,71,22
2022,5,401391835,8,4,72,28
2022,5,401391842,11,8,63,30
2022,5,401391856,9,2,63,26
2022,5,401391862,2,7,51,29
2022,6,401391651,3,5,59,29
2022,6,401391656,4,6,71,34
2022,6,401391661,16,3,72,25
2022,6,401391668,17,4,54,19
2022,6,401391676,7,4,67,32
2022,6,401391682,2,6,61,32
2022,6,401391687,15,4,75,30
2022,6,401391692,4,11,66,39
2022,6,401391694,8,9,71,35
2022,6,401391700,2,5,56,29
2022,6,401391704,2,12,56,36
2022,6,401391716,8,6,59,29
2022,6,401391727,21,4,71,26
2022,6,401391744,9,3,69,28
2022,6,401391749,4,7,67,33
2022,6,401391754,19,3,79,26
2022,6,401391757,16,10,72,34
2022,6,401391762,19,6,73,28
2022,6,401391769,5,6,76,37
2022,6,401391776,9,4,64,30
2022,6,401391777,12,6,60,27
2022,6,401391785,18,4,70,26
2022,6,401391790,2,5,56,29
2022,6,401391795,18,3,71,28
2022,6,401391805,5,6,66,33
2022,6,401391808,7,10,64,34
2022,6,401391814,12,5,59,24
2022,6,401391821,12,4,67,27
2022,6,401391830,19,1,83,30
2022,6,401391832,14,3,75,31
2022,6,401391836,16,8,60,24
2022,6,401391840,11,5,73,35
2022,6,401391845,13,5,63,26
2022,6,401391851,11,6,59,27
2022,6,401391855,6,2,68,28
2022,6,401391865,12,5,70,31
2022,8,401391653,12,3,79,31
2022,8,401391658,18,1,66,23
2022,8,401391660,14,6,77,32
2022,8,401391669,9,5,59,29
2022,8,401391676,7,4,64,31
2022,8,401391678,10,4,68,31
2022,8,401391684,12,4,61,27
2022,8,401391691,20,4,70,26
2022,8,401391700,10,4,52,22
2022,8,401391705,9,8,60,27
2022,8,401391712,13,8,63,31
2022,8,401391718,18,2,67,22
2022,8,401391725,14,0,58,19
2022,8,401391731,10,8,71,32
2022,8,401391733,5,7,68,35
2022,8,401391745,9,6,81,39
2022,8,401391748,9,4,64,28
2022,8,401391752,10,11,67,34
2022,8,401391760,2,8,56,33
2022,8,401391764,11,5,80,34
2022,8,401391770,11,6,68,31
2022,8,401391775,10,11,74,37
2022,8,401391780,9,6,62,30
2022,8,401391789,11,8,69,32
2022,8,401391793,15,6,70,30
2022,8,401391796,12,7,72,32
2022,8,401391800,18,4,66,22
2022,8,401391810,7,8,62,34
2022,8,401391817,7,3,70,30
2022,8,401391818,6,10,63,35
2022,8,401391830,4,10,57,31
2022,8,401391837,8,6,69,32
2022,8,401391847,8,5,66,31
2022,8,401391853,10,5,65,30
2022,8,401391858,15,3,63,23
2022,8,401391860,10,5,70,32
2022,9,401391654,7,3,59,28
2022,9,401391662,21,5,60,20
2022,9,401391666,21,4,72,26
2022,9,401391670,4,4,60,29
2022,9,401391672,7,1,52,22
2022,9,401391691,13,6,71,28
2022,9,401391695,12,3,61,24
2022,9,401391699,17,2,65,22
2022,9,401391706,9,3,62,28
2022,9,401391708,10,1,63,23
2022,9,401391712,11,5,71,32
2022,9,401391718,13,12,69,32
2022,9,401391723,1,11,65,38
2022,9,401391728,7,6,66,32
2022,9,401391737,8,2,69,31
2022,9,401391741,13,6,75,30
2022,9,401391750,18,8,69,31
2022,9,401391755,13,10,68,32
2022,9,401391768,12,6,60,25
2022,9,401391776,16,4,68,27
2022,9,401391782,7,12,73,42
2022,9,401391784,10,2,71,30
2022,9,401391787,15,10,76,34
2022,9,401391792,14,1,63,22
2022,9,401391803,13,2,66,24
2022,9,401391807,12,5,62,26
2022,9,401391813,9,2,72,31
2022,9,401391823,9,5,65,28
2022,9,401391827,6,5,71,35
2022,9,401391832,6,9,64,37
2022,9,401391836,19,2,73,23
2022,9,401391843,27,3,68,21
2022,9,401391848,13,5,62,27
2022,9,401391852,4,11,62,34
2022,9,401391857,7,6,66,31
2022,9,401391861,12,9,60,27
2022,9,401455627,8,9,75,37
2022,9,401455651,16,1,60,20
2022,9,401455657,9,3,69,30
2022,11,401391652,10,8,73,33
2022,11,401391663,1,7,63,36
2022,11,401391667,17,4,69,26
2022,11,401391675,13,7,60,26
2022,11,401391679,9,5,73,29
2022,11,401391683,8,3,70,29
2022,11,401391692,3,12,60,34
2022,11,401391698,24,1,68,18
2022,11,401391702,17,7,70,28
2022,11,401391710,8,5,62,28
2022,11,401391716,8,2,59,27
2022,11,401391726,12,4,67,28
2022,11,401391730,6,7,62,31
2022,11,401391732,12,2,62,24
2022,11,401391736,5,9,67,34
2022,11,401391739,7,6,65,31
2022,11,401391748,10,1,58,23
2022,11,401391752,10,9,58,27
2022,11,401391756,21,6,69,29
2022,11,401391761,16,3,69,26
2022,11,401391766,8,10,70,38
2022,11,401391772,13,4,66,27
2022,11,401391777,9,4,57,26
2022,11,401391784,16,3,66,27
2022,11,401391789,18,7,78,32
2022,11,401391794,17,4,69,26
2022,11,401391801,9,3,63,26
2022,11,401391812,10,6,65,30
2022,11,401391821,6,6,64,32
2022,11,401391827,12,3,64,24
2022,11,401391831,18,3,64,23
2022,11,401391838,21,3,69,23
2022,11,401391843,16,1,72,27
2022,11,401391853,10,1,67,28
2022,11,401391859,9,15,68,35
2022,11,401391863,7,6,59,27
2022,11,401455628,23,2,74,23
2022,11,401455652,13,12,73,34
2022,14,401391653,6,7,66,35
2022,14,401391657,13,2,76,27
2022,14,401391663,16,4,71,27
2022,14,401391667,23,1,77,24
2022,14,401391677,10,3,70,29
2022,14,401391682,12,4,69,29
2022,14,401391695,19,5,65,23
2022,14,401391699,10,8,73,36
2022,14,401391711,16,1,63,20
2022,14,401391717,9,10,70,34
2022,14,401391719,8,3,61,25
2022,14,401391724,5,6,67,37
