team,year,season_type,team_id,team_sdr,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_is_active,team_is_all_star,defensive_blocks,defensive_defensive_rebounds,defensive_steals,defensive_avg_defensive_rebounds,defensive_avg_blocks,defensive_avg_steals,defensive_avg48defensive_rebounds,defensive_avg48blocks,defensive_avg48steals,general_disqualifications,general_flagrant_fouls,general_fouls,general_ejections,general_technical_fouls,general_rebounds,general_avg_minutes,general_nba_rating,general_plus_minus,general_game_day_of_year,general_avg_rebounds,general_avg_fouls,general_avg_flagrant_fouls,general_avg_technical_fouls,general_avg_ejections,general_avg_disqualifications,general_assist_turnover_ratio,general_steal_foul_ratio,general_block_foul_ratio,general_avg_team_rebounds,general_total_rebounds,general_total_technical_fouls,general_team_assist_turnover_ratio,general_team_rebounds,general_steal_turnover_ratio,general_avg48rebounds,general_avg48fouls,general_avg48flagrant_fouls,general_avg48technical_fouls,general_avg48ejections,general_avg48disqualifications,general_games_played,general_games_started,general_double_double,general_triple_double,offensive_assists,offensive_field_goals,offensive_field_goals_attempted,offensive_field_goals_made,offensive_field_goal_pct,offensive_free_throws,offensive_free_throw_pct,offensive_free_throws_attempted,offensive_free_throws_made,offensive_offensive_rebounds,offensive_points,offensive_turnovers,offensive_three_point_pct,offensive_three_point_field_goals_attempted,offensive_three_point_field_goals_made,offensive_team_turnovers,offensive_total_turnovers,offensive_points_in_paint,offensive_brick_index,offensive_avg_field_goals_made,offensive_avg_field_goals_attempted,offensive_avg_three_point_field_goals_made,offensive_avg_three_point_field_goals_attempted,offensive_avg_free_throws_made,offensive_avg_free_throws_attempted,offensive_avg_points,offensive_avg_points_allowed,offensive_avg_offensive_rebounds,offensive_avg_assists,offensive_avg_turnovers,offensive_offensive_rebound_pct,offensive_estimated_possessions,offensive_avg_estimated_possessions,offensive_points_per_estimated_possessions,offensive_avg_team_turnovers,offensive_avg_total_turnovers,offensive_three_point_field_goal_pct,offensive_two_point_field_goals_made,offensive_two_point_field_goals_attempted,offensive_avg_two_point_field_goals_made,offensive_avg_two_point_field_goals_attempted,offensive_two_point_field_goal_pct,offensive_shooting_efficiency,offensive_scoring_efficiency,offensive_avg48field_goals_made,offensive_avg48field_goals_attempted,offensive_avg48three_point_field_goals_made,offensive_avg48three_point_field_goals_attempted,offensive_avg48free_throws_made,offensive_avg48free_throws_attempted,offensive_avg48points,offensive_avg48offensive_rebounds,offensive_avg48assists,offensive_avg48turnovers
3,2022,regular,3,2783,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,TRUE,FALSE,134,873,256,24.25,3.7222223,7.111111,0,0,0,4,3,676,0,0,1217,0,149.26527,-1,0,33.805557,18.777779,0.083333336,0,0,0.11111111,1.4857143,0.37869823,0.19822486,0,1217,74,1.8172044,0,0.5626374,0,0,0,0,0,0,36,0,0,0,676,0.434853,2456,1068,43.485,0.764391,76.439,747,571,344,2986,455,34.317,813,279,372,827,13930,0,29.666666,68.22222,7.75,22.583334,15.861111,20.75,82.94444,82.75,9.555555,18.777779,12.638889,0.24783862,3237.8,89.93889,0.92223114,10.333333,22.972222328186035,34.317344427108765,789,1643,21.916666,45.63889,48.021912574768066,0.49165308,1.215798,0,0,0,0,0,0,0,0,0,0
3,2022,postseason,3,2783,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,TRUE,FALSE,15,66,17,22,5,5.6666665,0,0,0,0,0,53,0,0,94,0,130.78334,-1,0,31.333334,17.666666,0,0,0,0,1.2619047,0.3207547,0.28301886,0,94,1,1.4722222,0,0.4047619,0,0,0,0,0,0,3,0,0,0,53,0.42487,193,82,42.487,0.704545,70.455,44,31,28,215,42,31.746,63,20,36,78,1224,0,27.333334,64.333336,6.6666665,21,10.333333,14.666667,71.666664,81.666664,9.333333,17.666666,14,0.25225225,260.6,86.86667,0.8250192,12,26,31.74603283405304,62,130,20.666666,43.333332,47.69230782985687,0.47668394,1.1139896,0,0,0,0,0,0,0,0,0,0
5,2022,regular,5,2785,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,002d62,e03a3e,TRUE,FALSE,129,845,258,23.472221,3.5833333,7.1666665,0,0,0,3,4,719,0,0,1197,0,136.66667,-1,0,33.25,19.972221,0.11111111,0,0,0.083333336,1.1908257,0.3588317,0.17941585,0,1197,42,1.1672661,0,0.47339448,0,0,0,0,0,0,36,0,0,0,649,0.408727,2498,1021,40.873,0.746055,74.605,697,520,352,2807,545,33.84,724,245,556,1101,13660,0,28.36111,69.388885,6.8055553,20.11111,14.444445,19.36111,77.97222,89.05556,9.777778,18.027779,15.138889,0.23832092,3525.8,97.93889,0.7961314,15.444445,30.58333396911621,33.83978009223938,776,1774,21.555555,49.27778,43.74295473098755,0.4577662,1.123699,0,0,0,0,0,0,0,0,0,0
6,2022,regular,6,2786,los-angeles-sparks,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,552583,fdb927,TRUE,FALSE,142,844,308,23.444445,3.9444444,8.555555,0,0,0,4,4,657,0,0,1094,0,144.02362,-1,0,30.38889,18.25,0.11111111,0,0,0.11111111,1.3682092,0.46879756,0.21613394,0,1094,103,1.9941349,0,0.6197183,0,0,0,0,0,0,36,0,0,0,680,0.445828,2409,1074,44.583,0.785714,78.571,658,517,250,2860,497,32.02,609,195,341,838,15448,0,29.833334,66.916664,5.4166665,16.916666,14.361111,18.277779,79.44444,86.55556,6.9444447,18.88889,13.805555,0.18726592,3260.2,90.56111,0.8772468,9.472222,23.277777671813965,32.01970458030701,879,1800,24.416666,50,48.83333444595337,0.48630136,1.1872146,0,0,0,0,0,0,0,0,0,0
8,2022,regular,8,2788,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,266092,79bc43,TRUE,FALSE,102,1007,220,27.972221,2.8333333,6.111111,0,0,0,3,6,610,0,0,1330,0,152.70555,-1,0,36.944443,16.944445,0.16666667,0,0,0.083333336,1.4125475,0.36065573,0.16721311,0,1330,117,2.0870786,0,0.41825095,0,0,0,0,0,0,36,0,0,0,743,0.45029,2414,1087,45.029,0.783977,78.398,699,548,323,2968,526,34.795,707,246,356,882,14346,0,30.194445,67.05556,6.8333335,19.63889,15.222222,19.416666,82.44444,83.916664,8.972222,20.63889,14.611111,0.24340618,3252.6,90.350006,0.91250074,9.888889,24.5,34.79490876197815,841,1707,23.36111,47.416668,49.26772117614746,0.50124276,1.2294946,0,0,0,0,0,0,0,0,0,0
9,2022,regular,9,2789,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,86cebc,000000,TRUE,FALSE,148,981,219,27.25,4.111111,6.0833335,0,0,0,7,1,656,0,0,1232,0,148.62361,-1,0,34.22222,18.222221,0.027777778,0,0,0.19444445,1.4136622,0.33384147,0.22560975,0,1232,46,1.9708995,0,0.41555977,0,0,0,0,0,0,36,0,0,0,745,0.431307,2402,1036,43.131,0.822551,82.255,541,445,251,2866,527,35.075,995,349,378,905,13586,0,28.777779,66.72222,9.694445,27.63889,12.361111,15.027778,79.611115,82,6.9722223,20.694445,14.638889,0.18374817,3272.4,90.899994,0.87580985,10.5,25.13888931274414,35.07537543773651,687,1407,19.083334,39.083332,48.82729351520538,0.50395507,1.1931723,0,0,0,0,0,0,0,0,0,0
9,2022,postseason,9,2789,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,86cebc,000000,TRUE,FALSE,8,81,19,27,2.6666667,6.3333335,0,0,0,0,1,43,0,0,95,0,141.28334,-1,0,31.666666,14.333333,0.33333334,0,0,0,1.4878049,0.44186047,0.18604651,0,95,12,2.5416667,0,0.46341464,0,0,0,0,0,0,3,0,0,0,61,0.426471,204,87,42.647,0.902439,90.244,41,37,14,232,41,31.343,67,21,24,65,1248,0,29,68,7,22.333334,12.333333,13.666667,77.333336,93.666664,4.6666665,20.333334,13.666667,0.11965812,271.4,90.46667,0.85482687,8,21.666666984558105,31.343284249305725,66,137,22,45.666668,48.175182938575745,0.4779412,1.137255,0,0,0,0,0,0,0,0,0,0
11,2022,regular,11,2791,phoenix-mercury,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3c286e,fa4b0a,TRUE,FALSE,163,876,267,24.333334,4.5277777,7.4166665,0,0,0,4,6,714,0,0,1122,0,147.28888,-1,0,31.166666,19.833334,0.16666667,0,0,0.11111111,1.44375,0.3739496,0.22829132,0,1122,98,1.7953368,0,0.55625,0,0,0,0,0,0,36,0,0,0,693,0.429228,2395,1028,42.923,0.816692,81.669,671,548,246,2920,480,32.882,961,316,386,866,13714,0,28.555555,66.52778,8.777778,26.694445,15.222222,18.63889,81.111115,84.111115,6.8333335,19.25,13.333333,0.17995611,3283.4,91.20555,0.88932204,10.722222,24.05555534362793,32.882413268089294,712,1434,19.777779,39.833332,49.65132474899292,0.49519834,1.2192067,0,0,0,0,0,0,0,0,0,0
11,2022,postseason,11,2791,phoenix-mercury,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3c286e,fa4b0a,TRUE,FALSE,3,48,8,24,1.5,4,0,0,0,0,1,30,0,0,69,0,118.975,-1,0,34.5,15,0.5,0,0,0,1.4545455,0.26666668,0.1,0,69,0,1.6842105,0,0.36363637,0,0,0,0,0,0,2,0,0,0,32,0.385135,148,57,38.514,0.612903,61.29,31,19,21,143,22,24.39,41,10,19,41,644,0,28.5,74,5,20.5,9.5,15.5,71.5,98,10.5,16,11,0.23076923,180.4,90.2,0.79268295,9.5,20.5,24.390244483947754,47,107,23.5,53.5,43.92523467540741,0.4189189,0.9662162,0,0,0,0,0,0,0,0,0,0
14,2022,regular,14,2794,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,2c5235,fee11a,TRUE,FALSE,150,928,299,25.777779,4.1666665,8.305555,0,0,0,2,4,560,0,0,1208,0,158.16805,-1,0,33.555557,15.555555,0.11111111,0,0,0.055555556,1.7673913,0.5339286,0.26785713,0,1208,12,3.2261906,0,0.65,0,0,0,0,0,0,36,0,0,0,813,0.441889,2478,1095,44.189,0.824723,82.472,542,447,280,2970,460,36.117,922,333,252,712,13098,0,30.416666,68.833336,9.25,25.61111,12.416667,15.055555,82.5,78.388885,7.7777777,22.583334,12.777778,0.20245843,3126.8,86.85556,0.9498529,7,19.777777671813965,36.11713647842407,762,1556,21.166666,43.22222,48.97172152996063,0.5090799,1.1985472,0,0,0,0,0,0,0,0,0,0
